id,sex,age,m,len,len_sd,wt,mat,mat_fec,sr
51-CAAL-oneFleet-09,1,0,0.707867,77.3185,9.9314,3.40136,8.45296e-09,0,
51-CAAL-oneFleet-09,1,1,0.4718,130.271,10.3496,21.0879,0.00034076,0.0121366,
51-CAAL-oneFleet-09,1,2,0.4007,163.651,10.6133,47.3082,0.102941,6.4519,
51-CAAL-oneFleet-09,1,3,0.3766,184.693,10.7795,72.7137,0.599286,48.0301,
51-CAAL-oneFleet-09,1,4,0.3669,197.958,10.8842,93.0689,0.883069,84.7239,
51-CAAL-oneFleet-09,1,5,0.3629,206.32,10.9503,107.842,0.960651,104.757,
51-CAAL-oneFleet-09,1,6,0.3612,211.591,10.9919,117.982,0.982241,116.499,
51-CAAL-oneFleet-09,1,7,0.3605,214.914,11.0182,124.718,0.989633,123.815,
51-CAAL-oneFleet-09,1,8,0.3602,217.008,11.0347,129.104,0.992709,128.451,
51-CAAL-oneFleet-09,1,9,0.36,218.329,11.0451,131.925,0.994186,131.395,
51-CAAL-oneFleet-09,1,10,0.36,219.608,11.0517,134.699,0.99535,134.268,
51-CAAL-oneFleet-09,1,0.25,0.64885,92.9273,10.0547,6.43788,1.93374e-07,0,
51-CAAL-oneFleet-09,1,1.25,0.454025,140.11,10.4273,27.28,0.0023029,0.0121366,
51-CAAL-oneFleet-09,1,2.25,0.394675,169.854,10.6623,53.9897,0.205886,6.4519,
51-CAAL-oneFleet-09,1,3.25,0.374175,188.603,10.8104,78.3397,0.702543,48.0301,
51-CAAL-oneFleet-09,1,4.25,0.3659,200.423,10.9037,97.2609,0.91313,84.7239,
51-CAAL-oneFleet-09,1,5.25,0.362475,207.874,10.9625,110.763,0.968625,104.757,
51-CAAL-oneFleet-09,1,6.25,0.361025,212.57,10.9996,119.939,0.984805,116.499,
51-CAAL-oneFleet-09,1,7.25,0.360425,215.531,11.023,125.999,0.990645,123.815,
51-CAAL-oneFleet-09,1,8.25,0.36015,217.397,11.0378,129.931,0.993177,128.451,
51-CAAL-oneFleet-09,1,9.25,0.36,218.574,11.0471,132.454,0.994427,131.395,
51-CAAL-oneFleet-09,1,10.25,0.36,219.714,11.0517,134.931,0.995437,134.268,
51-CAAL-oneFleet-09,1,0.5,0.589834,106.836,10.1645,10.4881,3.1465e-06,0,
51-CAAL-oneFleet-09,1,1.5,0.43625,148.878,10.4966,33.8215,0.0113035,0.0121366,
51-CAAL-oneFleet-09,1,2.5,0.38865,175.381,10.7059,60.4956,0.336728,6.4519,
51-CAAL-oneFleet-09,1,3.5,0.37175,192.087,10.8379,83.6119,0.782106,48.0301,
51-CAAL-oneFleet-09,1,4.5,0.3649,202.619,10.921,101.11,0.934474,84.7239,
51-CAAL-oneFleet-09,1,5.5,0.36205,209.258,10.9735,113.413,0.974507,104.757,
51-CAAL-oneFleet-09,1,6.5,0.36085,213.443,11.0065,121.703,0.986802,116.499,
51-CAAL-oneFleet-09,1,7.5,0.36035,216.081,11.0274,127.149,0.99147,123.815,
51-CAAL-oneFleet-09,1,8.5,0.3601,217.744,11.0405,130.671,0.99357,128.451,
51-CAAL-oneFleet-09,1,9.5,0.36,218.793,11.0488,132.927,0.994634,131.395,
51-CAAL-oneFleet-09,1,10.5,0.36,219.808,11.0517,135.138,0.995513,134.268,
51-CAAL-oneFleet-09,1,0.75,0.530817,119.228,10.2624,15.4283,3.77266e-05,0,
51-CAAL-oneFleet-09,1,1.75,0.418475,156.69,10.5583,40.5457,0.039783,0.0121366,
51-CAAL-oneFleet-09,1,2.75,0.382625,180.305,10.7448,66.7542,0.47408,6.4519,
51-CAAL-oneFleet-09,1,3.75,0.369325,195.192,10.8624,88.5216,0.840815,48.0301,
51-CAAL-oneFleet-09,1,4.75,0.3639,204.576,10.9365,104.631,0.949697,84.7239,
51-CAAL-oneFleet-09,1,5.75,0.361625,210.492,10.9832,115.813,0.978905,104.757,
51-CAAL-oneFleet-09,1,6.75,0.360675,214.221,11.0127,123.291,0.988377,116.499,
51-CAAL-oneFleet-09,1,7.75,0.360275,216.571,11.0312,128.18,0.992147,123.815,
51-CAAL-oneFleet-09,1,8.75,0.36005,218.053,11.043,131.333,0.993903,128.451,
51-CAAL-oneFleet-09,1,9.75,0.36,218.987,11.0503,133.349,0.994813,131.395,
51-CAAL-oneFleet-09,1,10.75,0.36,219.892,11.0517,135.322,0.99558,134.268,
