id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
11-CAAL-no-ageerr,3,F03_LL.JP.3,yes,LEN,1,150,0.2619736733,0.07100674,0.1909669333,292.31503,235.0157,23.50157
11-CAAL-no-ageerr,3,F03_LL.JP.3,yes,LEN,1,155,0.1016467435,0.12934701,-0.0277002665,326.93553,246.6102,24.66102
11-CAAL-no-ageerr,3,F03_LL.JP.3,yes,LEN,1,160,0.4021734015,0.2753483,0.1268251015,347.68333,279.0613,27.90613
11-CAAL-no-ageerr,3,F03_LL.JP.3,yes,LEN,1,165,0.6382521629,0.5199694,0.1182827629,374.45643,285.37399,28.537399
11-CAAL-no-ageerr,3,F03_LL.JP.3,yes,LEN,1,170,1.1300885506,1.0334262,0.0966623506000002,396.46195,291.19186,29.119186
11-CAAL-no-ageerr,3,F03_LL.JP.3,yes,LEN,1,175,1.0708283504,1.5006572,-0.4298288496,404.797,293.554,29.3554
11-CAAL-no-ageerr,3,F03_LL.JP.3,yes,LEN,1,180,2.0293335107,2.7360632,-0.706729689299999,427.53791,306.64002,30.664002
11-CAAL-no-ageerr,3,F03_LL.JP.3,yes,LEN,1,185,2.6420956001,3.035355,-0.3932593999,435.15763,309.90665,30.990665
11-CAAL-no-ageerr,3,F03_LL.JP.3,yes,LEN,1,190,3.2405472002,3.475475,-0.2349277998,437.65975,313.42835,31.342835
11-CAAL-no-ageerr,3,F03_LL.JP.3,yes,LEN,1,195,2.8063412403,3.004717,-0.198375759699999,437.65975,313.42835,31.342835
11-CAAL-no-ageerr,3,F03_LL.JP.3,yes,LEN,1,200,2.3776542108,2.809682,-0.4320277892,437.65975,313.42835,31.342835
11-CAAL-no-ageerr,3,F03_LL.JP.3,yes,LEN,1,205,1.6340529807,2.0582232,-0.424170219300001,432.20582,307.85817,30.785817
11-CAAL-no-ageerr,3,F03_LL.JP.3,yes,LEN,1,120,0.0215308525,0.0004904,0.0210404525,132.9453,114.13841,11.413841
11-CAAL-no-ageerr,3,F03_LL.JP.3,yes,LEN,1,125,0.0374469832,0.000826897,0.0366200862,148.7961,121.59494,12.159494
11-CAAL-no-ageerr,3,F03_LL.JP.3,yes,LEN,1,130,0.0004986438,0.001247872,-0.0007492282,148.7961,121.59494,12.159494
11-CAAL-no-ageerr,3,F03_LL.JP.3,yes,LEN,1,135,0.0077949227,0.00229987,0.0054950527,148.7961,121.59494,12.159494
